maxfarms, p, zone, weight_z, cell
20, 0.05, 19, 0.2, 10549
20, 0.1, 7, 0.2, 5551
20, 0.1, 9, 0.2, 6611
20, 0.1, 14, 0.2, 9239
20, 0.1, 18, 0.2, 10434
20, 0.1, 19, 0.2, 10549
20, 0.15000000000000002, 4, 0.06666666666666667, 3997
20, 0.15000000000000002, 7, 0.1333333333333333, 5551
20, 0.15000000000000002, 9, 0.2, 6611
20, 0.15000000000000002, 14, 0.2, 9239
20, 0.15000000000000002, 18, 0.2, 10434
20, 0.15000000000000002, 19, 0.2, 10549
20, 0.2, 4, 0.06666666666666667, 3997
20, 0.2, 5, 0.08333333333333333, 4173
20, 0.2, 9, 0.2, 6611
20, 0.2, 14, 0.2, 9239
20, 0.2, 18, 0.2, 10434
20, 0.2, 19, 0.2, 10549
20, 0.2, 33, 0.05, 17691
20, 0.25, 1, 0.03333333333333333, 1724
20, 0.25, 5, 0.1, 4173
20, 0.25, 9, 0.2, 6611
20, 0.25, 14, 0.15, 9239
20, 0.25, 18, 0.2, 10434
20, 0.25, 19, 0.2, 10549
20, 0.25, 33, 0.08333333333333333, 17691
20, 0.25, 41, 0.03333333333333333, 18787
20, 0.30000000000000004, 1, 0.05, 1724
20, 0.30000000000000004, 5, 0.1, 4173
20, 0.30000000000000004, 9, 0.2, 6611
20, 0.30000000000000004, 14, 0.05, 9239
20, 0.30000000000000004, 18, 0.2, 10434
20, 0.30000000000000004, 19, 0.2, 10549
20, 0.30000000000000004, 34, 0.03333333333333333, 17487
20, 0.30000000000000004, 33, 0.05, 17691
20, 0.30000000000000004, 41, 0.08333333333333333, 18787
20, 0.30000000000000004, 145, 0.03333333333333333, 67549
20, 0.35000000000000003, 1, 0.03333333333333333, 1724
20, 0.35000000000000003, 5, 0.1, 4173
20, 0.35000000000000003, 9, 0.2, 6611
20, 0.35000000000000003, 18, 0.2, 10434
20, 0.35000000000000003, 19, 0.2, 10549
20, 0.35000000000000003, 34, 0.05, 17487
20, 0.35000000000000003, 33, 0.03333333333333333, 17691
20, 0.35000000000000003, 41, 0.1, 18787
20, 0.35000000000000003, 145, 0.08333333333333333, 67549
20, 0.4, 1, 0.08333333333333333, 1724
20, 0.4, 5, 0.08333333333333333, 4173
20, 0.4, 9, 0.1166666666666667, 6611
20, 0.4, 18, 0.2, 10434
20, 0.4, 19, 0.2, 10549
20, 0.4, 34, 0.05, 17487
20, 0.4, 33, 0.03333333333333333, 17691
20, 0.4, 41, 0.1166666666666667, 18787
20, 0.4, 145, 0.1166666666666667, 67549
20, 0.45, 1, 0.1, 1724
20, 0.45, 5, 0.08333333333333333, 4173
20, 0.45, 9, 0.06666666666666667, 6611
20, 0.45, 18, 0.2, 10434
20, 0.45, 19, 0.1833333333333333, 10549
20, 0.45, 34, 0.06666666666666667, 17487
20, 0.45, 41, 0.1333333333333333, 18787
20, 0.45, 108, 0.03333333333333333, 55184
20, 0.45, 145, 0.1333333333333333, 67549
20, 0.5, 1, 0.1, 1724
20, 0.5, 5, 0.08333333333333333, 4173
20, 0.5, 9, 0.03333333333333333, 6611
20, 0.5, 18, 0.2, 10434
20, 0.5, 19, 0.1666666666666667, 10549
20, 0.5, 34, 0.06666666666666667, 17487
20, 0.5, 41, 0.1333333333333333, 18787
20, 0.5, 108, 0.06666666666666667, 55184
20, 0.5, 145, 0.15, 67549
20, 0.55, 1, 0.1166666666666667, 1724
20, 0.55, 5, 0.08333333333333333, 4173
20, 0.55, 18, 0.2, 10434
20, 0.55, 19, 0.15, 10549
20, 0.55, 34, 0.06666666666666667, 17487
20, 0.55, 41, 0.1333333333333333, 18787
20, 0.55, 95, 0.03333333333333333, 48593
20, 0.55, 108, 0.06666666666666667, 55184
20, 0.55, 145, 0.15, 67549
20, 0.6000000000000001, 1, 0.1166666666666667, 1724
20, 0.6000000000000001, 5, 0.03333333333333333, 4173
20, 0.6000000000000001, 6, 0.03333333333333333, 5242
20, 0.6000000000000001, 18, 0.2, 10434
20, 0.6000000000000001, 19, 0.1333333333333333, 10549
20, 0.6000000000000001, 34, 0.06666666666666667, 17487
20, 0.6000000000000001, 41, 0.1333333333333333, 18787
20, 0.6000000000000001, 95, 0.05, 48593
20, 0.6000000000000001, 108, 0.06666666666666667, 55184
20, 0.6000000000000001, 145, 0.1666666666666667, 67549
20, 0.65, 1, 0.1166666666666667, 1724
20, 0.65, 5, 0.03333333333333333, 4173
20, 0.65, 6, 0.03333333333333333, 5242
20, 0.65, 18, 0.15, 10434
20, 0.65, 19, 0.15, 10549
20, 0.65, 34, 0.05, 17487
20, 0.65, 41, 0.1333333333333333, 18787
20, 0.65, 65, 0.03333333333333333, 32983
20, 0.65, 95, 0.06666666666666667, 48593
20, 0.65, 108, 0.06666666666666667, 55184
20, 0.65, 137, 0.03333333333333333, 64712
20, 0.65, 145, 0.1333333333333333, 67549
20, 0.7000000000000001, 1, 0.1166666666666667, 1724
20, 0.7000000000000001, 5, 0.03333333333333333, 4173
20, 0.7000000000000001, 6, 0.03333333333333333, 5242
20, 0.7000000000000001, 18, 0.08333333333333333, 10434
20, 0.7000000000000001, 19, 0.1666666666666667, 10549
20, 0.7000000000000001, 31, 0.03333333333333333, 16372
20, 0.7000000000000001, 34, 0.05, 17487
20, 0.7000000000000001, 41, 0.1333333333333333, 18787
20, 0.7000000000000001, 65, 0.03333333333333333, 32983
20, 0.7000000000000001, 95, 0.08333333333333333, 48593
20, 0.7000000000000001, 108, 0.05, 55184
20, 0.7000000000000001, 137, 0.05, 64712
20, 0.7000000000000001, 142, 0.03333333333333333, 66112
20, 0.7000000000000001, 145, 0.1, 67549
20, 0.75, 1, 0.1166666666666667, 1724
20, 0.75, 5, 0.03333333333333333, 4173
20, 0.75, 10, 0.03333333333333333, 6385
20, 0.75, 18, 0.03333333333333333, 10434
20, 0.75, 19, 0.2, 10549
20, 0.75, 31, 0.03333333333333333, 16372
20, 0.75, 34, 0.03333333333333333, 17487
20, 0.75, 41, 0.1333333333333333, 18787
20, 0.75, 65, 0.05, 32983
20, 0.75, 81, 0.03333333333333333, 40838
20, 0.75, 95, 0.06666666666666667, 48593
20, 0.75, 108, 0.05, 55184
20, 0.75, 137, 0.06666666666666667, 64712
20, 0.75, 142, 0.03333333333333333, 66112
20, 0.75, 145, 0.08333333333333333, 67549
20, 0.8, 1, 0.1166666666666667, 1724
20, 0.8, 5, 0.03333333333333333, 4173
20, 0.8, 10, 0.03333333333333333, 6385
20, 0.8, 19, 0.2, 10549
20, 0.8, 31, 0.05, 16372
20, 0.8, 34, 0.03333333333333333, 17487
20, 0.8, 41, 0.1166666666666667, 18787
20, 0.8, 65, 0.06666666666666667, 32983
20, 0.8, 81, 0.03333333333333333, 40838
20, 0.8, 95, 0.08333333333333333, 48593
20, 0.8, 108, 0.05, 55184
20, 0.8, 137, 0.03333333333333333, 64712
20, 0.8, 133, 0.03333333333333333, 65178
20, 0.8, 142, 0.03333333333333333, 66112
20, 0.8, 145, 0.08333333333333333, 67549
20, 0.8500000000000001, 1, 0.1333333333333333, 1724
20, 0.8500000000000001, 10, 0.03333333333333333, 6385
20, 0.8500000000000001, 19, 0.1833333333333333, 10549
20, 0.8500000000000001, 31, 0.05, 16372
20, 0.8500000000000001, 30, 0.03333333333333333, 16761
20, 0.8500000000000001, 41, 0.1, 18787
20, 0.8500000000000001, 61, 0.03333333333333333, 28300
20, 0.8500000000000001, 65, 0.05, 32983
20, 0.8500000000000001, 81, 0.05, 40838
20, 0.8500000000000001, 95, 0.08333333333333333, 48593
20, 0.8500000000000001, 108, 0.03333333333333333, 55184
20, 0.8500000000000001, 121, 0.03333333333333333, 56784
20, 0.8500000000000001, 133, 0.06666666666666667, 65178
20, 0.8500000000000001, 145, 0.1166666666666667, 67549
20, 0.9, 1, 0.1166666666666667, 1724
20, 0.9, 10, 0.03333333333333333, 6385
20, 0.9, 19, 0.1666666666666667, 10549
20, 0.9, 31, 0.06666666666666667, 16372
20, 0.9, 30, 0.03333333333333333, 16761
20, 0.9, 41, 0.1, 18787
20, 0.9, 61, 0.03333333333333333, 28300
20, 0.9, 65, 0.03333333333333333, 32983
20, 0.9, 71, 0.03333333333333333, 35772
20, 0.9, 81, 0.06666666666666667, 40838
20, 0.9, 95, 0.06666666666666667, 48593
20, 0.9, 108, 0.03333333333333333, 55184
20, 0.9, 121, 0.03333333333333333, 56784
20, 0.9, 126, 0.05, 59935
20, 0.9, 137, 0.03333333333333333, 64712
20, 0.9, 145, 0.1, 67549
20, 0.9500000000000001, 1, 0.1166666666666667, 1724
20, 0.9500000000000001, 10, 0.03333333333333333, 6385
20, 0.9500000000000001, 19, 0.1333333333333333, 10549
20, 0.9500000000000001, 31, 0.03333333333333333, 16372
20, 0.9500000000000001, 30, 0.03333333333333333, 16761
20, 0.9500000000000001, 37, 0.05, 16927
20, 0.9500000000000001, 38, 0.03333333333333333, 18162
20, 0.9500000000000001, 41, 0.05, 18787
20, 0.9500000000000001, 47, 0.03333333333333333, 23910
20, 0.9500000000000001, 65, 0.03333333333333333, 32983
20, 0.9500000000000001, 71, 0.05, 35772
20, 0.9500000000000001, 81, 0.08333333333333333, 40838
20, 0.9500000000000001, 95, 0.03333333333333333, 48593
20, 0.9500000000000001, 98, 0.05, 50627
20, 0.9500000000000001, 121, 0.03333333333333333, 56784
20, 0.9500000000000001, 126, 0.08333333333333333, 59935
20, 0.9500000000000001, 137, 0.03333333333333333, 64712
20, 0.9500000000000001, 145, 0.08333333333333333, 67549
30, 0.05, 7, 0.2, 5551
30, 0.05, 9, 0.2, 6611
30, 0.05, 14, 0.2, 9239
30, 0.05, 18, 0.2, 10434
30, 0.05, 19, 0.2, 10549
30, 0.1, 7, 0.2, 5551
30, 0.1, 9, 0.2, 6611
30, 0.1, 14, 0.2, 9239
30, 0.1, 18, 0.2, 10434
30, 0.1, 19, 0.2, 10549
30, 0.15000000000000002, 4, 0.06666666666666667, 3997
30, 0.15000000000000002, 7, 0.1333333333333333, 5551
30, 0.15000000000000002, 9, 0.2, 6611
30, 0.15000000000000002, 14, 0.2, 9239
30, 0.15000000000000002, 18, 0.2, 10434
30, 0.15000000000000002, 19, 0.2, 10549
30, 0.2, 4, 0.06666666666666667, 3997
30, 0.2, 5, 0.08333333333333333, 4173
30, 0.2, 9, 0.2, 6611
30, 0.2, 14, 0.2, 9239
30, 0.2, 18, 0.2, 10434
30, 0.2, 19, 0.2, 10549
30, 0.2, 33, 0.05, 17691
30, 0.25, 1, 0.03333333333333333, 1724
30, 0.25, 5, 0.1, 4173
30, 0.25, 9, 0.2, 6611
30, 0.25, 14, 0.15, 9239
30, 0.25, 18, 0.2, 10434
30, 0.25, 19, 0.2, 10549
30, 0.25, 33, 0.08333333333333333, 17691
30, 0.25, 41, 0.03333333333333333, 18787
30, 0.30000000000000004, 1, 0.05, 1724
30, 0.30000000000000004, 5, 0.1, 4173
30, 0.30000000000000004, 9, 0.2, 6611
30, 0.30000000000000004, 14, 0.05, 9239
30, 0.30000000000000004, 18, 0.2, 10434
30, 0.30000000000000004, 19, 0.2, 10549
30, 0.30000000000000004, 34, 0.03333333333333333, 17487
30, 0.30000000000000004, 33, 0.05, 17691
30, 0.30000000000000004, 41, 0.08333333333333333, 18787
30, 0.30000000000000004, 145, 0.03333333333333333, 67549
30, 0.35000000000000003, 1, 0.03333333333333333, 1724
30, 0.35000000000000003, 5, 0.1, 4173
30, 0.35000000000000003, 9, 0.2, 6611
30, 0.35000000000000003, 18, 0.2, 10434
30, 0.35000000000000003, 19, 0.2, 10549
30, 0.35000000000000003, 34, 0.05, 17487
30, 0.35000000000000003, 33, 0.03333333333333333, 17691
30, 0.35000000000000003, 41, 0.1, 18787
30, 0.35000000000000003, 145, 0.08333333333333333, 67549
30, 0.4, 1, 0.08333333333333333, 1724
30, 0.4, 5, 0.08333333333333333, 4173
30, 0.4, 9, 0.1166666666666667, 6611
30, 0.4, 18, 0.2, 10434
30, 0.4, 19, 0.2, 10549
30, 0.4, 34, 0.05, 17487
30, 0.4, 33, 0.03333333333333333, 17691
30, 0.4, 41, 0.1166666666666667, 18787
30, 0.4, 145, 0.1166666666666667, 67549
30, 0.45, 1, 0.1, 1724
30, 0.45, 5, 0.08333333333333333, 4173
30, 0.45, 9, 0.06666666666666667, 6611
30, 0.45, 18, 0.2, 10434
30, 0.45, 19, 0.1833333333333333, 10549
30, 0.45, 34, 0.06666666666666667, 17487
30, 0.45, 41, 0.1333333333333333, 18787
30, 0.45, 108, 0.03333333333333333, 55184
30, 0.45, 145, 0.1333333333333333, 67549
30, 0.5, 1, 0.1, 1724
30, 0.5, 5, 0.08333333333333333, 4173
30, 0.5, 9, 0.03333333333333333, 6611
30, 0.5, 18, 0.2, 10434
30, 0.5, 19, 0.1666666666666667, 10549
30, 0.5, 34, 0.06666666666666667, 17487
30, 0.5, 41, 0.1333333333333333, 18787
30, 0.5, 108, 0.06666666666666667, 55184
30, 0.5, 145, 0.15, 67549
30, 0.55, 1, 0.1166666666666667, 1724
30, 0.55, 5, 0.08333333333333333, 4173
30, 0.55, 18, 0.2, 10434
30, 0.55, 19, 0.15, 10549
30, 0.55, 34, 0.06666666666666667, 17487
30, 0.55, 41, 0.1333333333333333, 18787
30, 0.55, 95, 0.03333333333333333, 48593
30, 0.55, 108, 0.06666666666666667, 55184
30, 0.55, 145, 0.15, 67549
30, 0.6000000000000001, 1, 0.1166666666666667, 1724
30, 0.6000000000000001, 5, 0.03333333333333333, 4173
30, 0.6000000000000001, 6, 0.03333333333333333, 5242
30, 0.6000000000000001, 18, 0.2, 10434
30, 0.6000000000000001, 19, 0.1333333333333333, 10549
30, 0.6000000000000001, 34, 0.06666666666666667, 17487
30, 0.6000000000000001, 41, 0.1333333333333333, 18787
30, 0.6000000000000001, 95, 0.05, 48593
