param CF_Zones:=
1	-0.664858669674451
2	-0.660312102926861
3	-0.659702178688915
4	-0.685930074397534
5	-0.64918691929091
6	-0.640474141804243
7	-0.663734408352337
8	-0.678410151387793
9	-0.614748943702094
10	-0.687198806799915
11	-0.612367502833471
12	-0.610410843038665
13	-0.581778844969578
14	-0.605930926558743
15	-0.338197726857439
16	-0.542382133701027
17	-0.618420856520984
18	-0.620828748110839
19	-0.559126768419356
20	-0.601900429328461
21	-0.52194000756061
22	-0.16606483669635
23	-0.625571121369344
24	-0.62355963200075
25	-0.624161049815274
26	-0.31126136263865
27	-0.315298789694272
28	-0.591425944141318
29	-0.537241359660332
30	-0.45081165948261
31	-0.531862450163832
32	-0.54998184994183
33	-0.215920864384148
34	-0.566015905334422
35	-0.552133267657039
36	-0.529547213876692
37	-0.54021551523287
38	-0.483127583724805
39	-0.566921606067537
40	-0.55147544003201
41	-0.540765034532768
42	-0.531087621063356
43	-0.500799058742451
44	-0.560801121775643
45	-0.546203841016947
46	-0.3662618408192
47	-0.490277937503745
48	-0.5185737379432
49	-0.549936653320191
50	-0.528033367775837
51	-0.373199179285955
52	-0.450655540146501
53	-0.531943173691352
54	-0.299266591191149
55	-0.40362811821097
56	-0.505378556880153
57	-0.534215411564165
58	-0.268859901685258
59	-0.551435350319846
60	-0.562184452520598
61	-0.570174512821643
62	-0.574175489957414
63	-0.402489739024676
64	-0.521374053874236
65	-0.575178704867242
66	-0.545501050506001
67	-0.557197294631486
68	-0.56873659330705
69	-0.57080377884164
70	-0.564580333303488
71	-0.526369255050092
72	-0.469131069607347
73	-0.562692428921409
74	-0.554124607464172
75	-0.570050704434138
76	-0.396674656077886
77	-0.557250389589083
78	-0.563467740121972
79	-0.545912904344446
80	-0.565305694608485
81	-0.560131739084161
82	-0.567481236286158
83	-0.534135566322825
84	-0.456991448742151
85	-0.56596025172363
86	-0.562617016098965
87	-0.564469215734862
88	-0.56880383184418
89	-0.540602813027093
90	-0.563323445360228
91	-0.54849142479004
92	-0.568647358805122
93	-0.575643139085831
94	-0.573745780544891
95	-0.572514407588982
96	-0.57676119172048
97	-0.580349243856825
98	-0.586967502194805
99	-0.59422065881482
100	-0.602793493932895
;
