maxfarms, p, MeanVariance, MeanSD, MeanCF, BiObj
20, 0.05, 0.10705983588415721, 0.3271999937105091, -0.6970419895724849, 0.06854004011289894
20, 0.1, 0.10472457993212332, 0.3236117734757549, -0.6967673328823834, 0.11290624072224485
20, 0.15000000000000002, 0.10378693786538444, 0.3221598017527706, -0.6965889508160401, 0.15599137442194594
20, 0.2, 0.10215589640467335, 0.319618360556263, -0.6961204761953729, 0.19821495018089946
20, 0.25, 0.08934661681092836, 0.2989090443779317, -0.6912844541951049, 0.23404252205182416
20, 0.30000000000000004, 0.07881723969553975, 0.28074408220929564, -0.6860573860516087, 0.2607547286201671
20, 0.35000000000000003, 0.06914795506770442, 0.2629599875792977, -0.6798505229340464, 0.2794230439542065
20, 0.4, 0.05946667565825722, 0.24385790054508635, -0.67212116189517, 0.28901519777264384
20, 0.45, 0.05338322569903723, 0.23104810256532562, -0.6659679430854644, 0.29157572213495325
20, 0.5, 0.04857799847299194, 0.22040417072503854, -0.660145037267048, 0.2874196865047824
20, 0.55, 0.04566239841367498, 0.21368761876551243, -0.6559125007356121, 0.2782241328322647
20, 0.6000000000000001, 0.04190425880282501, 0.20470529744690294, -0.649230903608046, 0.2644551277388655
20, 0.65, 0.03846485130004056, 0.19612458107040168, -0.6415325502910593, 0.24581331159493422
20, 0.7000000000000001, 0.03603401443011777, 0.189826274340824, -0.6347310150164648, 0.22210916086320834
20, 0.75, 0.0346531301773247, 0.18615351239588443, -0.6297174889686603, 0.19474286241522523
20, 0.8, 0.033457184818764155, 0.18291305261999252, -0.6241631600946929, 0.16392479655247524
20, 0.8500000000000001, 0.03257841815547833, 0.18049492556711486, -0.6183552152967111, 0.1302195312364921
20, 0.9, 0.031562245163020544, 0.17765766283225878, -0.6083054327754884, 0.0925371941007805
20, 0.9500000000000001, 0.03123067852780165, 0.1767220374707174, -0.6025678697212739, 0.05039704122318567
