maxfarms, p, zone, weight_z, cell, weight_c
5, 0.25, 4, 0.3075000000000002, 5569, 0.0025
5, 0.25, 4, 0.3075000000000002, 5570, 0.0025
5, 0.25, 4, 0.3075000000000002, 5571, 0.0025
5, 0.25, 4, 0.3075000000000002, 5572, 0.0025
5, 0.25, 4, 0.3075000000000002, 5573, 0.0025
5, 0.25, 4, 0.3075000000000002, 5574, 0.0025
5, 0.25, 4, 0.3075000000000002, 5575, 0.0025
5, 0.25, 4, 0.3075000000000002, 5576, 0.0025
5, 0.25, 4, 0.3075000000000002, 5577, 0.0025
5, 0.25, 4, 0.3075000000000002, 5695, 0.0025
5, 0.25, 4, 0.3075000000000002, 5696, 0.0025
5, 0.25, 4, 0.3075000000000002, 5697, 0.0025
5, 0.25, 4, 0.3075000000000002, 5698, 0.0025
5, 0.25, 4, 0.3075000000000002, 5699, 0.0025
5, 0.25, 4, 0.3075000000000002, 5700, 0.0025
5, 0.25, 4, 0.3075000000000002, 5701, 0.0025
5, 0.25, 4, 0.3075000000000002, 5702, 0.0025
5, 0.25, 4, 0.3075000000000002, 5703, 0.0025
5, 0.25, 4, 0.3075000000000002, 5704, 0.0025
5, 0.25, 4, 0.3075000000000002, 5822, 0.0025
5, 0.25, 4, 0.3075000000000002, 5823, 0.0025
5, 0.25, 4, 0.3075000000000002, 5824, 0.0025
5, 0.25, 4, 0.3075000000000002, 5825, 0.0025
5, 0.25, 4, 0.3075000000000002, 5826, 0.0025
5, 0.25, 4, 0.3075000000000002, 5827, 0.0025
5, 0.25, 4, 0.3075000000000002, 5828, 0.0025
5, 0.25, 4, 0.3075000000000002, 5829, 0.0025
5, 0.25, 4, 0.3075000000000002, 5830, 0.0025
5, 0.25, 4, 0.3075000000000002, 5831, 0.0025
5, 0.25, 4, 0.3075000000000002, 5948, 0.0025
5, 0.25, 4, 0.3075000000000002, 5949, 0.0025
5, 0.25, 4, 0.3075000000000002, 5950, 0.0025
5, 0.25, 4, 0.3075000000000002, 5951, 0.0025
5, 0.25, 4, 0.3075000000000002, 5952, 0.0025
5, 0.25, 4, 0.3075000000000002, 5953, 0.0025
5, 0.25, 4, 0.3075000000000002, 5954, 0.0025
5, 0.25, 4, 0.3075000000000002, 5955, 0.0025
5, 0.25, 4, 0.3075000000000002, 5956, 0.0025
5, 0.25, 4, 0.3075000000000002, 5957, 0.0025
5, 0.25, 4, 0.3075000000000002, 5958, 0.0025
5, 0.25, 4, 0.3075000000000002, 5959, 0.0025
5, 0.25, 4, 0.3075000000000002, 6077, 0.0025
5, 0.25, 4, 0.3075000000000002, 6078, 0.0025
5, 0.25, 4, 0.3075000000000002, 6079, 0.0025
5, 0.25, 4, 0.3075000000000002, 6080, 0.0025
5, 0.25, 4, 0.3075000000000002, 6081, 0.0025
5, 0.25, 4, 0.3075000000000002, 6082, 0.0025
5, 0.25, 4, 0.3075000000000002, 6083, 0.0025
5, 0.25, 4, 0.3075000000000002, 6084, 0.0025
5, 0.25, 4, 0.3075000000000002, 6085, 0.0025
5, 0.25, 4, 0.3075000000000002, 6086, 0.0025
5, 0.25, 4, 0.3075000000000002, 6087, 0.0025
5, 0.25, 10, 0.4, 6088, 0.0025
5, 0.25, 10, 0.4, 6089, 0.0025
5, 0.25, 8, 0.1300000000000001, 6204, 0.0025
5, 0.25, 4, 0.3075000000000002, 6205, 0.0025
5, 0.25, 4, 0.3075000000000002, 6206, 0.0025
5, 0.25, 4, 0.3075000000000002, 6207, 0.0025
5, 0.25, 4, 0.3075000000000002, 6208, 0.0025
5, 0.25, 4, 0.3075000000000002, 6209, 0.0025
5, 0.25, 4, 0.3075000000000002, 6210, 0.0025
5, 0.25, 4, 0.3075000000000002, 6211, 0.0025
5, 0.25, 4, 0.3075000000000002, 6212, 0.0025
5, 0.25, 4, 0.3075000000000002, 6213, 0.0025
5, 0.25, 4, 0.3075000000000002, 6214, 0.0025
5, 0.25, 4, 0.3075000000000002, 6215, 0.0025
5, 0.25, 10, 0.4, 6216, 0.0025
5, 0.25, 10, 0.4, 6217, 0.0025
5, 0.25, 10, 0.4, 6218, 0.0025
5, 0.25, 10, 0.4, 6219, 0.0025
5, 0.25, 8, 0.1300000000000001, 6333, 0.0025
5, 0.25, 8, 0.1300000000000001, 6334, 0.0025
5, 0.25, 8, 0.1300000000000001, 6335, 0.0025
5, 0.25, 4, 0.3075000000000002, 6336, 0.0025
5, 0.25, 4, 0.3075000000000002, 6337, 0.0025
5, 0.25, 4, 0.3075000000000002, 6338, 0.0025
5, 0.25, 4, 0.3075000000000002, 6339, 0.0025
5, 0.25, 4, 0.3075000000000002, 6340, 0.0025
5, 0.25, 4, 0.3075000000000002, 6341, 0.0025
5, 0.25, 4, 0.3075000000000002, 6342, 0.0025
5, 0.25, 4, 0.3075000000000002, 6343, 0.0025
5, 0.25, 4, 0.3075000000000002, 6344, 0.0025
5, 0.25, 4, 0.3075000000000002, 6345, 0.0025
5, 0.25, 4, 0.3075000000000002, 6346, 0.0025
5, 0.25, 10, 0.4, 6347, 0.0025
5, 0.25, 10, 0.4, 6348, 0.0025
5, 0.25, 10, 0.4, 6349, 0.0025
5, 0.25, 10, 0.4, 6350, 0.0025
5, 0.25, 10, 0.4, 6351, 0.0025
5, 0.25, 10, 0.4, 6352, 0.0025
5, 0.25, 10, 0.4, 6353, 0.0025
5, 0.25, 8, 0.1300000000000001, 6464, 0.0025
5, 0.25, 8, 0.1300000000000001, 6465, 0.0025
5, 0.25, 8, 0.1300000000000001, 6466, 0.0025
5, 0.25, 8, 0.1300000000000001, 6467, 0.0025
5, 0.25, 4, 0.3075000000000002, 6468, 0.0025
5, 0.25, 4, 0.3075000000000002, 6469, 0.0025
5, 0.25, 4, 0.3075000000000002, 6470, 0.0025
5, 0.25, 4, 0.3075000000000002, 6471, 0.0025
5, 0.25, 4, 0.3075000000000002, 6472, 0.0025
5, 0.25, 4, 0.3075000000000002, 6473, 0.0025
5, 0.25, 4, 0.3075000000000002, 6474, 0.0025
5, 0.25, 4, 0.3075000000000002, 6475, 0.0025
5, 0.25, 4, 0.3075000000000002, 6476, 0.0025
5, 0.25, 10, 0.4, 6477, 0.0025
5, 0.25, 10, 0.4, 6478, 0.0025
5, 0.25, 10, 0.4, 6479, 0.0025
5, 0.25, 10, 0.4, 6480, 0.0025
5, 0.25, 10, 0.4, 6481, 0.0025
5, 0.25, 10, 0.4, 6482, 0.0025
5, 0.25, 10, 0.4, 6483, 0.0025
5, 0.25, 10, 0.4, 6484, 0.0025
5, 0.25, 8, 0.1300000000000001, 6596, 0.0025
5, 0.25, 8, 0.1300000000000001, 6597, 0.0025
5, 0.25, 8, 0.1300000000000001, 6598, 0.0025
5, 0.25, 8, 0.1300000000000001, 6599, 0.0025
5, 0.25, 4, 0.3075000000000002, 6600, 0.0025
5, 0.25, 4, 0.3075000000000002, 6601, 0.0025
5, 0.25, 4, 0.3075000000000002, 6602, 0.0025
5, 0.25, 4, 0.3075000000000002, 6603, 0.0025
5, 0.25, 4, 0.3075000000000002, 6604, 0.0025
5, 0.25, 4, 0.3075000000000002, 6605, 0.0025
5, 0.25, 4, 0.3075000000000002, 6606, 0.0025
5, 0.25, 4, 0.3075000000000002, 6607, 0.0025
5, 0.25, 10, 0.4, 6608, 0.0025
5, 0.25, 10, 0.4, 6609, 0.0025
