maxfarms, p, zone, weight_z, cell, weight_c
5, 0.05, 9, 0.2, 4955, 0.001666666666666668
5, 0.05, 16, 0.2, 5047, 0.001666666666666667
5, 0.05, 9, 0.2, 5075, 0.001666666666666668
5, 0.05, 16, 0.2, 5171, 0.001666666666666668
5, 0.05, 9, 0.2, 5193, 0.001666666666666668
5, 0.05, 9, 0.2, 5196, 0.001666666666666668
5, 0.05, 9, 0.2, 5197, 0.001666666666666668
5, 0.05, 9, 0.2, 5198, 0.001666666666666667
5, 0.05, 9, 0.2, 5199, 0.001666666666666668
5, 0.05, 16, 0.2, 5293, 0.001666666666666668
5, 0.05, 16, 0.2, 5294, 0.001666666666666668
5, 0.05, 16, 0.2, 5295, 0.001666666666666668
5, 0.05, 16, 0.2, 5296, 0.001666666666666667
5, 0.05, 9, 0.2, 5314, 0.001666666666666667
5, 0.05, 9, 0.2, 5315, 0.001666666666666667
5, 0.05, 9, 0.2, 5316, 0.001666666666666668
5, 0.05, 9, 0.2, 5317, 0.001666666666666668
5, 0.05, 9, 0.2, 5318, 0.001666666666666667
5, 0.05, 9, 0.2, 5319, 0.001666666666666668
5, 0.05, 9, 0.2, 5320, 0.001666666666666668
5, 0.05, 9, 0.2, 5321, 0.001666666666666668
5, 0.05, 9, 0.2, 5322, 0.001666666666666668
5, 0.05, 9, 0.2, 5323, 0.001666666666666668
5, 0.05, 9, 0.2, 5324, 0.001666666666666667
5, 0.05, 9, 0.2, 5325, 0.001666666666666667
5, 0.05, 9, 0.2, 5326, 0.001666666666666668
5, 0.05, 16, 0.2, 5418, 0.001666666666666668
5, 0.05, 16, 0.2, 5419, 0.001666666666666667
5, 0.05, 16, 0.2, 5420, 0.001666666666666668
5, 0.05, 16, 0.2, 5421, 0.001666666666666668
5, 0.05, 16, 0.2, 5422, 0.001666666666666668
5, 0.05, 16, 0.2, 5423, 0.001666666666666668
5, 0.05, 9, 0.2, 5440, 0.001666666666666668
5, 0.05, 9, 0.2, 5441, 0.001666666666666668
5, 0.05, 9, 0.2, 5442, 0.001666666666666667
5, 0.05, 9, 0.2, 5443, 0.001666666666666667
5, 0.05, 9, 0.2, 5444, 0.001666666666666667
5, 0.05, 9, 0.2, 5445, 0.001666666666666667
5, 0.05, 9, 0.2, 5446, 0.001666666666666668
5, 0.05, 9, 0.2, 5447, 0.001666666666666668
5, 0.05, 9, 0.2, 5448, 0.001666666666666667
5, 0.05, 9, 0.2, 5449, 0.001666666666666668
5, 0.05, 9, 0.2, 5450, 0.001666666666666668
5, 0.05, 9, 0.2, 5451, 0.001666666666666668
5, 0.05, 9, 0.2, 5452, 0.001666666666666668
5, 0.05, 9, 0.2, 5453, 0.001666666666666667
5, 0.05, 16, 0.2, 5545, 0.001666666666666668
5, 0.05, 16, 0.2, 5546, 0.001666666666666667
5, 0.05, 16, 0.2, 5547, 0.001666666666666667
5, 0.05, 16, 0.2, 5548, 0.001666666666666668
5, 0.05, 16, 0.2, 5549, 0.001666666666666667
5, 0.05, 16, 0.2, 5550, 0.001666666666666667
5, 0.05, 14, 0.2, 5565, 0.001666666666666668
5, 0.05, 9, 0.2, 5566, 0.001666666666666668
5, 0.05, 9, 0.2, 5567, 0.001666666666666668
5, 0.05, 9, 0.2, 5568, 0.001666666666666668
5, 0.05, 9, 0.2, 5569, 0.001666666666666668
5, 0.05, 9, 0.2, 5570, 0.001666666666666667
5, 0.05, 9, 0.2, 5571, 0.001666666666666668
5, 0.05, 9, 0.2, 5572, 0.001666666666666668
5, 0.05, 9, 0.2, 5573, 0.001666666666666668
5, 0.05, 9, 0.2, 5574, 0.001666666666666668
5, 0.05, 9, 0.2, 5575, 0.001666666666666668
5, 0.05, 9, 0.2, 5576, 0.001666666666666667
5, 0.05, 9, 0.2, 5577, 0.001666666666666668
5, 0.05, 9, 0.2, 5578, 0.001666666666666668
5, 0.05, 9, 0.2, 5579, 0.001666666666666667
5, 0.05, 16, 0.2, 5673, 0.001666666666666667
5, 0.05, 16, 0.2, 5674, 0.001666666666666668
5, 0.05, 16, 0.2, 5675, 0.001666666666666667
5, 0.05, 16, 0.2, 5676, 0.001666666666666668
5, 0.05, 16, 0.2, 5677, 0.001666666666666668
5, 0.05, 16, 0.2, 5678, 0.001666666666666667
5, 0.05, 14, 0.2, 5690, 0.001666666666666667
5, 0.05, 14, 0.2, 5691, 0.001666666666666668
5, 0.05, 14, 0.2, 5692, 0.001666666666666667
5, 0.05, 14, 0.2, 5693, 0.001666666666666667
5, 0.05, 9, 0.2, 5694, 0.001666666666666668
5, 0.05, 9, 0.2, 5695, 0.001666666666666668
5, 0.05, 9, 0.2, 5696, 0.001666666666666667
5, 0.05, 9, 0.2, 5697, 0.001666666666666668
5, 0.05, 9, 0.2, 5698, 0.001666666666666668
5, 0.05, 9, 0.2, 5699, 0.001666666666666668
5, 0.05, 9, 0.2, 5700, 0.001666666666666668
5, 0.05, 9, 0.2, 5701, 0.001666666666666668
5, 0.05, 9, 0.2, 5702, 0.001666666666666668
5, 0.05, 9, 0.2, 5703, 0.001666666666666667
5, 0.05, 9, 0.2, 5704, 0.001666666666666668
5, 0.05, 9, 0.2, 5705, 0.001666666666666668
5, 0.05, 9, 0.2, 5706, 0.001666666666666668
5, 0.05, 16, 0.2, 5801, 0.001666666666666668
5, 0.05, 16, 0.2, 5802, 0.001666666666666668
5, 0.05, 16, 0.2, 5803, 0.001666666666666667
