maxfarms, p, zone, weight_z, cell
10, 0.35000000000000003, 98, 0.09733610698969239, 67549
10, 0.4, 1, 0.06604165539689945, 3419
10, 0.4, 3, 0.06649364868975129, 6163
10, 0.4, 4, 0.1376395639713699, 7545
10, 0.4, 10, 0.4, 11003
10, 0.4, 23, 0.05, 18140
10, 0.4, 25, 0.1455263052041929, 18787
10, 0.4, 98, 0.1342988267377864, 67549
10, 0.45, 1, 0.1026405210775754, 3419
10, 0.45, 3, 0.06129571581454925, 6163
10, 0.45, 4, 0.05611034927018414, 7545
10, 0.45, 10, 0.4, 11003
10, 0.45, 23, 0.05, 18140
10, 0.45, 25, 0.1429272802713093, 18787
10, 0.45, 75, 0.05, 55904
10, 0.45, 98, 0.1370261335663819, 67549
10, 0.5, 1, 0.1305826964495344, 3419
10, 0.5, 3, 0.06274428661660048, 6163
10, 0.5, 10, 0.3918991637500113, 11003
10, 0.5, 23, 0.05, 18140
10, 0.5, 25, 0.1485059016288389, 18787
10, 0.5, 75, 0.05915610447562165, 55904
10, 0.5, 98, 0.1571118470793932, 67549
10, 0.55, 1, 0.1459432392547517, 3419
10, 0.55, 6, 0.05, 6910
10, 0.55, 10, 0.3535814712809769, 11003
10, 0.55, 23, 0.05, 18140
10, 0.55, 25, 0.1390334636739788, 18787
10, 0.55, 67, 0.05, 50627
10, 0.55, 75, 0.05, 55904
10, 0.55, 98, 0.1614418257902924, 67549
10, 0.6000000000000001, 1, 0.1433046816094215, 3419
10, 0.6000000000000001, 6, 0.05, 6910
10, 0.6000000000000001, 10, 0.3269052212021431, 11003
10, 0.6000000000000001, 23, 0.05, 18140
10, 0.6000000000000001, 25, 0.1419656492135013, 18787
10, 0.6000000000000001, 67, 0.06484045325084685, 50627
10, 0.6000000000000001, 75, 0.05, 55904
10, 0.6000000000000001, 98, 0.1729839947240871, 67549
10, 0.65, 1, 0.1339492866738196, 3419
10, 0.65, 6, 0.05341341697592591, 6910
10, 0.65, 10, 0.2944926382632655, 11003
10, 0.65, 25, 0.1684031414556264, 18787
10, 0.65, 41, 0.05, 32983
10, 0.65, 67, 0.07700290200874449, 50627
10, 0.65, 75, 0.05, 55904
10, 0.65, 98, 0.1727386146226179, 67549
10, 0.7000000000000001, 1, 0.1284225578839699, 3419
10, 0.7000000000000001, 6, 0.0542845119765738, 6910
10, 0.7000000000000001, 10, 0.2662250903536201, 11003
10, 0.7000000000000001, 25, 0.1598715695162898, 18787
10, 0.7000000000000001, 41, 0.05, 32983
10, 0.7000000000000001, 66, 0.05, 50508
10, 0.7000000000000001, 67, 0.05, 50627
10, 0.7000000000000001, 75, 0.05, 55904
10, 0.7000000000000001, 89, 0.05, 65178
10, 0.7000000000000001, 98, 0.1411962702695461, 67549
10, 0.75, 1, 0.1219143306842585, 3419
10, 0.75, 6, 0.05599912655263266, 6910
10, 0.75, 10, 0.2111469318296736, 11003
10, 0.75, 17, 0.05, 15908
10, 0.75, 25, 0.146473885873796, 18787
10, 0.75, 41, 0.05529676100529413, 32983
10, 0.75, 56, 0.05, 40838
10, 0.75, 67, 0.1081862120478062, 50627
10, 0.75, 89, 0.05024372800652918, 65178
10, 0.75, 98, 0.1507390240000096, 67549
10, 0.8, 1, 0.1175530569290679, 3419
10, 0.8, 6, 0.05634892540271971, 6910
10, 0.8, 10, 0.1903721544500344, 11003
10, 0.8, 17, 0.05, 15908
10, 0.8, 25, 0.1393944484311095, 18787
10, 0.8, 41, 0.06988337632000545, 32983
10, 0.8, 56, 0.05546527752247777, 40838
10, 0.8, 67, 0.1132823293077671, 50627
10, 0.8, 89, 0.06553482384437734, 65178
10, 0.8, 98, 0.1421656077924408, 67549
10, 0.8500000000000001, 1, 0.1133208079663121, 3419
10, 0.8500000000000001, 6, 0.05586526637533047, 6910
10, 0.8500000000000001, 10, 0.1633291565677885, 11003
10, 0.8500000000000001, 17, 0.06175841525447597, 15908
10, 0.8500000000000001, 25, 0.130429140815953, 18787
10, 0.8500000000000001, 41, 0.08000811324306774, 32983
10, 0.8500000000000001, 56, 0.07154014105265023, 40838
10, 0.8500000000000001, 67, 0.1125188790787368, 50627
10, 0.8500000000000001, 89, 0.07823741064290197, 65178
10, 0.8500000000000001, 98, 0.1329926690027832, 67549
10, 0.9, 1, 0.1095495788312706, 3419
10, 0.9, 6, 0.05542529621072181, 6910
10, 0.9, 10, 0.1387102877098725, 11003
10, 0.9, 17, 0.07305168797676441, 15908
10, 0.9, 25, 0.1223646106588575, 18787
10, 0.9, 41, 0.0889375483581977, 32983
10, 0.9, 56, 0.08584083292481717, 40838
10, 0.9, 67, 0.1118036790623107, 50627
10, 0.9, 89, 0.0895002463479888, 65178
10, 0.9, 98, 0.1248162319191989, 67549
10, 0.9500000000000001, 1, 0.09463180816603181, 3419
10, 0.9500000000000001, 6, 0.06091572174152154, 6910
10, 0.9500000000000001, 10, 0.1322935230005625, 11003
10, 0.9500000000000001, 21, 0.08571572476109289, 16927
10, 0.9500000000000001, 25, 0.1168041804335555, 18787
10, 0.9500000000000001, 47, 0.09651674246154039, 35772
10, 0.9500000000000001, 56, 0.08231635305260875, 40838
10, 0.9500000000000001, 67, 0.09631411043650587, 50627
10, 0.9500000000000001, 84, 0.09658695089854726, 59935
10, 0.9500000000000001, 98, 0.1379048850480334, 67549
