maxfarms, p, zone, weight_z, cell, weight_c
5, 0.5, 1, 0.195, 2087, 0.0025
5, 0.5, 1, 0.195, 2181, 0.0025
5, 0.5, 1, 0.195, 2182, 0.0025
5, 0.5, 1, 0.195, 2276, 0.0025
5, 0.5, 1, 0.195, 2277, 0.0025
5, 0.5, 1, 0.195, 2278, 0.0025
5, 0.5, 1, 0.195, 2279, 0.0025
5, 0.5, 1, 0.195, 2372, 0.0025
5, 0.5, 1, 0.195, 2373, 0.0025
5, 0.5, 1, 0.195, 2374, 0.0025
5, 0.5, 1, 0.195, 2375, 0.0025
5, 0.5, 1, 0.195, 2376, 0.0025
5, 0.5, 1, 0.195, 2377, 0.0025
5, 0.5, 1, 0.195, 2378, 0.0025
5, 0.5, 1, 0.195, 2379, 0.0025
5, 0.5, 1, 0.195, 2470, 0.0025
5, 0.5, 1, 0.195, 2471, 0.0025
5, 0.5, 1, 0.195, 2472, 0.0025
5, 0.5, 1, 0.195, 2473, 0.0025
5, 0.5, 1, 0.195, 2474, 0.0025
5, 0.5, 1, 0.195, 2475, 0.0025
5, 0.5, 1, 0.195, 2476, 0.0025
5, 0.5, 1, 0.195, 2477, 0.0025
5, 0.5, 1, 0.195, 2478, 0.0025
5, 0.5, 1, 0.195, 2479, 0.0025
5, 0.5, 1, 0.195, 2480, 0.0025
5, 0.5, 1, 0.195, 2570, 0.0025
5, 0.5, 1, 0.195, 2571, 0.0025
5, 0.5, 1, 0.195, 2572, 0.0025
5, 0.5, 1, 0.195, 2573, 0.0025
5, 0.5, 1, 0.195, 2574, 0.0025
5, 0.5, 1, 0.195, 2575, 0.0025
5, 0.5, 1, 0.195, 2576, 0.0025
5, 0.5, 1, 0.195, 2577, 0.0025
5, 0.5, 1, 0.195, 2578, 0.0025
5, 0.5, 1, 0.195, 2579, 0.0025
5, 0.5, 1, 0.195, 2580, 0.0025
5, 0.5, 1, 0.195, 2581, 0.0025
5, 0.5, 1, 0.195, 2672, 0.0025
5, 0.5, 1, 0.195, 2673, 0.0025
5, 0.5, 1, 0.195, 2674, 0.0025
5, 0.5, 1, 0.195, 2675, 0.0025
5, 0.5, 1, 0.195, 2676, 0.0025
5, 0.5, 1, 0.195, 2677, 0.0025
5, 0.5, 1, 0.195, 2678, 0.0025
5, 0.5, 1, 0.195, 2679, 0.0025
5, 0.5, 1, 0.195, 2680, 0.0025
5, 0.5, 1, 0.195, 2681, 0.0025
5, 0.5, 1, 0.195, 2682, 0.0025
5, 0.5, 1, 0.195, 2683, 0.0025
5, 0.5, 1, 0.195, 2684, 0.0025
5, 0.5, 1, 0.195, 2776, 0.0025
5, 0.5, 1, 0.195, 2777, 0.0025
5, 0.5, 1, 0.195, 2778, 0.0025
5, 0.5, 1, 0.195, 2779, 0.0025
5, 0.5, 1, 0.195, 2780, 0.0025
5, 0.5, 1, 0.195, 2781, 0.0025
5, 0.5, 1, 0.195, 2782, 0.0025
5, 0.5, 1, 0.195, 2783, 0.0025
5, 0.5, 1, 0.195, 2784, 0.0025
5, 0.5, 1, 0.195, 2785, 0.0025
5, 0.5, 1, 0.195, 2786, 0.0025
5, 0.5, 1, 0.195, 2787, 0.0025
5, 0.5, 1, 0.195, 2883, 0.0025
5, 0.5, 1, 0.195, 2884, 0.0025
5, 0.5, 1, 0.195, 2888, 0.0025
5, 0.5, 1, 0.195, 2889, 0.0025
5, 0.5, 1, 0.195, 2890, 0.0025
5, 0.5, 1, 0.195, 2891, 0.0025
5, 0.5, 1, 0.195, 2892, 0.0025
5, 0.5, 1, 0.195, 2996, 0.0025
