i,WPSS
1,0.6271414432935896
2,0.6228318895856005
3,0.6271782994102572
4,0.627433551978257
5,0.6277165248192929
6,0.6281667450576386
7,0.6281542901746517
8,0.6284797401018817
9,0.6208488571143719
10,0.6285421073201567
11,0.6286188274060659
12,0.6289100187794656
13,0.6288216946013833
14,0.6291959891126313
15,0.6294038067941444
16,0.6250692861957463
17,0.6292701995377711
18,0.6295255001454588
19,0.6255046738537456
20,0.6237552801140642
21,0.6238719980698014
22,0.6282698205438565
23,0.6285202997157141
24,0.6285995959371091
25,0.6246887941197953
26,0.6294033305443056
27,0.6301622467618117
28,0.6304420334705052
29,0.630445712158497
30,0.6304847533430789
31,0.6261598967869128
32,0.6260608293034929
33,0.6306464912254744
34,0.6307786451817448
35,0.6252190046304776
36,0.6251812859415625
37,0.6249467810461203
38,0.629041154956169
39,0.6286598184131343
40,0.6243882947524452
41,0.6288824363432091
42,0.6290651910819031
43,0.629275601840631
44,0.6296197554927507
45,0.6301527031385177
46,0.6307181153791185
47,0.6311123239504585
48,0.6318119013666632
49,0.6320039250089893
50,0.6318934013761056
51,0.6315750002728077
52,0.6317070071458423
53,0.6315526673357587
54,0.6307831898809859
55,0.6306826546722208
56,0.6307838350973239
57,0.626210543091215
58,0.6261287728758359
59,0.6259890225413242
60,0.6257319500126872
61,0.6297690996401384
62,0.6249373754904017
63,0.6292861772807399
64,0.6293013348428336
65,0.6294788408893254
66,0.6298844675903398
67,0.6260035850587328
68,0.6310845379855795
69,0.6274110595870253
70,0.6322583561228118
71,0.628128135977942
72,0.6282558342071257
73,0.6284078348723829
74,0.6281748852727613
75,0.6207452028498194
76,0.6325693518905652
77,0.6281651159870949
78,0.6264747887087427
79,0.6313350668095916
80,0.626994517429918
81,0.6312643952320718
82,0.6270643486257683
83,0.6314752685817485
84,0.627163115881295
85,0.6268510488797523
86,0.6265428990975266
87,0.6305959510368606
88,0.6304862073236757
89,0.6302382506224598
90,0.6261226233377517
91,0.6307025858913504
92,0.6310519905651762
93,0.6272200079517098
94,0.6320867198142297
95,0.6325650437703543
96,0.6328922804665009
97,0.633065635225292
98,0.6288915304446743
99,0.624651025138378
100,0.6291706045180766
101,0.6292978200271646
102,0.6290238430625553
103,0.633278952329958
104,0.6310389222099385
105,0.6270199987463246
106,0.6273963400888326
107,0.6319020089143358
108,0.6318576311942175
109,0.6322411331101027
110,0.6277682169627246
111,0.6278757843146795
112,0.6277031708937271
113,0.6278003628270197
114,0.6320357770957432
115,0.6273153376261283
116,0.6314318537892308
117,0.6316355326010268
118,0.6319487882340793
119,0.6322648255305678
120,0.6281588493624012
121,0.6287122602491334
122,0.6286606847663461
123,0.6287919525382426
124,0.6291121068511564
125,0.6251254145901047
126,0.6254005531373515
127,0.625529872286392
128,0.6298366037036718
129,0.6297278910262221
130,0.6341311790365387
131,0.6264099552134708
132,0.6268421285973476
133,0.6272947147907654
134,0.632146909644667
135,0.627878844110992
136,0.632467372228428
137,0.6280931049038545
138,0.628306306053819
139,0.6284631116078181
140,0.6331206633131401
141,0.6286178363575546
142,0.6287538904867425
143,0.6331601444130641
144,0.6258939765056704
145,0.6289973144134391
146,0.6333722595807939
147,0.6290108161154925
148,0.6336301724297845
149,0.6246983358370639
150,0.62509929828645
151,0.6293466333102384
152,0.6339691237903425
153,0.6298043319803928
154,0.6257503543815198
155,0.6261328145426445
156,0.6307851789159258
157,0.6351207769736943
158,0.6350246784704293
159,0.6308262764976459
160,0.6313095558263088
161,0.630815570325942
162,0.6313300348941765
163,0.6316407415031992
164,0.6275448140467158
165,0.6279928185681906
166,0.6327683833151346
167,0.6331126863821513
168,0.6335780720026191
169,0.6335889674855041
170,0.6291878141244027
171,0.6339395128719223
172,0.6297552530860913
173,0.6345606935634738
174,0.6344736043505945
175,0.6301053296445831
176,0.6345414984696199
177,0.634745646028521
178,0.63015713200001
179,0.6226051875032156
180,0.6256392375347836
181,0.6256832281067158
182,0.6303034779015588
183,0.6303899988149113
184,0.6304583646275346
185,0.6310344780051447
186,0.6312345151357056
187,0.6360539661415097
188,0.6318114895967162
189,0.6323775133721424
190,0.6322552047772882
191,0.6322503592015106
192,0.6262057880461602
193,0.6309864652990079
194,0.6316252897792823
195,0.6275050751968068
196,0.6280125997122996
197,0.628393233500283
198,0.6256733066015243
199,0.629172634772518
200,0.6296382805269756
201,0.6301042334112198
202,0.6300695698315953
203,0.6347281361430412
204,0.6304367608630838
205,0.6350738664441509
206,0.6354168628358469
207,0.6310383751910229
208,0.6312036493804567
209,0.6314283833658362
210,0.6314911671959724
211,0.6315789624784818
212,0.6268364390443734
213,0.626518502870014
214,0.6351790841643367
215,0.6310233660216171
216,0.6357013357927727
217,0.6357642184983481
218,0.6316581501407681
219,0.63190738994139
220,0.6295522663746274
221,0.6332044045512422
222,0.6333451642534159
223,0.633202753751948
224,0.6336175871870745
225,0.6338030699580267
226,0.6237682570370684
227,0.6314552135808859
228,0.627386210089033
229,0.6276796113531866
230,0.6283425016936888
231,0.6214615866028607
232,0.6338141721170856
233,0.6340260626536962
234,0.6298883897993361
235,0.6348908363811246
236,0.6310074255885699
237,0.6355771451930485
238,0.6357724312357482
239,0.6313825294744213
240,0.63148588653793
241,0.6316737678271177
242,0.6318579666315162
243,0.6318252740637039
244,0.6321582420709138
245,0.6276569652417704
246,0.6276641241720209
247,0.6319219667640262
248,0.6318556244905621
249,0.6317966798537201
250,0.6364535121788254
251,0.6365350995827795
252,0.6320051079829377
253,0.6322509724693464
254,0.6328026010595014
255,0.633299629111885
256,0.6338058914537471
257,0.6341218750448819
258,0.6341702682801811
259,0.6343712469260218
260,0.6391001652932133
261,0.6309983076914983
262,0.6312926845629953
263,0.6316546471305851
264,0.632029957191363
