cluster_KM,cor_mean,cor_min,cor_05,cor_025
1,0.9438957644431261,0.7869646753796365,0.8650647212432355,0.8486004025407792
2,0.9414863860623407,0.7713755414855928,0.8544830420539931,0.8370381187944939
3,0.9309408572603177,0.715852498052259,0.8252907238759619,0.8040592800612214
4,0.9233329596608003,0.6592308294243717,0.8056628685481205,0.7784443851193563
5,0.9358906112721546,0.7336654477260204,0.8452776347435759,0.824596979072668
6,0.9293662125370675,0.7543450019869902,0.8295180152326901,0.813148206113876
7,0.9257711461355912,0.6913178538657576,0.8140735580826077,0.7909744843310571
8,0.9285177902336018,0.6928243626970458,0.8223805871614678,0.7994691538430914
9,0.9132323849375941,0.6495991346459086,0.7858446576323527,0.7582904184122012
10,0.9274174572620942,0.7374697079482445,0.8272107615795278,0.8076821853319262
11,0.9241334004054111,0.6895348058540938,0.8143276931854911,0.790780915984048
12,0.9127290659611124,0.665688486297277,0.7868260405029633,0.7614316732292694
13,0.9336123170706369,0.7275617666846502,0.8425867964094508,0.8222824444054498
14,0.8532335691368049,0.4530155647668855,0.6336961035817904,0.5967419081494854
15,0.8794471131796141,0.5802841845030384,0.7028541355841295,0.6719822488250002
16,0.8612898466930651,0.5364226351251278,0.6693983534696217,0.642596037921765
17,0.9139122013968818,0.6697951591096143,0.7904070964895947,0.7664801808097592
18,0.8850282997449788,0.5118646821417797,0.7102563159882561,0.6731835051262083
19,0.8398227257063487,0.47862049191021105,0.6137466677368373,0.5769464968555525
20,0.899081556693779,0.641345162528315,0.7506366056907665,0.7244229256061521
21,0.9211845695024758,0.6811926772106778,0.8070597583935967,0.7837633014141995
22,0.7832496486706848,0.22818951409371238,0.46280288718608104,0.3998925114685186
23,0.9078798668188564,0.6407390683409854,0.7779021140601716,0.753472936343187
24,0.9240493254327624,0.673609810539801,0.8139172404049803,0.7897582308240121
25,0.8071120360820278,0.4460168911697867,0.5771959195767692,0.5459702374499472
26,0.7538112684967966,0.21443797205947687,0.34588681747586725,0.31835996616129747
27,0.869563701410967,0.4195800830134364,0.6497806617738919,0.5658562587700638
28,0.9052246664379304,0.6579108711820018,0.7741631052800902,0.7491531731602967
29,0.8577375819879514,0.15260403488733051,0.5763009165199179,0.47288707951079134
30,0.9031356468320134,0.655400410307799,0.775923148185691,0.7530037600702812
31,0.8636054710848794,0.5384680233672683,0.6794780735737892,0.6507521214240676
32,0.8367635254754071,0.18032632074556249,0.44371529161120993,0.29033310250695793
33,0.9133061942243974,0.695334713005378,0.80034933325647994,0.7801353546453806
34,0.9298336415410672,0.756661565952856,0.8438402371262166,0.8269539481239416
35,0.8340027670775094,0.23233803979083556,0.49836129928163503,0.36144564414612923
36,0.9317430642078468,0.7506357727612442,0.8450331011915388,0.8259078762746391
37,0.8109947446488918,0.37521283023205154,0.5672815153581509,0.5009973987428352
