i,WPSS
1,0.8319028403713263
2,0.8277569714716204
3,0.8316094200419819
4,0.8318594224631671
5,0.8319625476065631
6,0.8322875447352376
7,0.8322927128910933
8,0.8324994585312786
9,0.821188470753616
10,0.8321832540810359
11,0.8321687599326308
12,0.8323549609539449
13,0.832357191793494
14,0.832643728857844
15,0.8327868156594883
16,0.8286884805367831
17,0.8327373039917245
18,0.8329504415542893
19,0.8289633247424466
20,0.8276253763022581
21,0.8276713198842128
22,0.8318408685253907
23,0.8320092829097263
24,0.8320075272943572
25,0.8281499137923698
26,0.8324084174674433
27,0.8328777665189727
28,0.8330676216658742
29,0.8331186095904077
30,0.8331671470787676
31,0.8290874549883275
32,0.8290686851844591
33,0.8333395720080972
34,0.8334681489701743
35,0.828139576785685
36,0.8281484098647679
37,0.8280229660513486
38,0.8321548571185616
39,0.8319666061190856
40,0.8279182240297753
41,0.8321180007936927
42,0.8322778832946547
43,0.8323487527795294
44,0.8324935268658661
45,0.8327287403241799
46,0.833013919445973
47,0.8332647503216846
48,0.8337253541119374
49,0.833863135186633
50,0.8338204654696838
51,0.8337410939332965
52,0.833868778172677
53,0.8338880194081314
54,0.8325721892755208
55,0.8326050115010158
56,0.8326951369184731
57,0.8284710550265072
58,0.8285038429427949
59,0.8284362127001325
60,0.8283651016699437
61,0.8323854187421071
62,0.8280312620158291
63,0.8321567564556099
64,0.8321561936359082
65,0.8322082074865199
66,0.8324379389088771
67,0.8285990624872057
68,0.8331646164487152
69,0.8293228484397117
70,0.833749724315014
71,0.8297675310079512
72,0.8298914869728643
73,0.8300429366623782
74,0.8299365836435065
75,0.8190979499711992
76,0.8342365776401175
77,0.8301944419420647
78,0.8284468880455993
79,0.832854960662706
80,0.8287094269623358
81,0.8328367909597814
82,0.8288011162900991
83,0.8329465794208827
84,0.8288929581271748
85,0.8286953494722543
86,0.8285713968000062
87,0.8325610861081733
88,0.8326683040935098
89,0.8325818007893132
90,0.8286389478509537
91,0.8328702925667663
92,0.8330650204316866
93,0.8291801147973491
94,0.8335980393165738
95,0.8338342873130735
96,0.8340854734569467
97,0.8342184196813286
98,0.830187269199076
99,0.8260781060848794
100,0.8304470774494496
101,0.8305431048590474
102,0.8304808555520204
103,0.8346683090358354
104,0.8324898954470988
105,0.8285533985166906
106,0.8287493145880259
107,0.8330206066329245
108,0.8329904354772102
109,0.833299558396223
110,0.8290626120478544
111,0.829199671124657
112,0.8290398488203797
113,0.8291438876827839
114,0.8331949974802716
115,0.8289507200929425
116,0.8329925530376524
117,0.8331727238690585
118,0.8333224014581458
119,0.8335446173613941
120,0.8295230993664992
121,0.8299315094213492
122,0.8299185033488247
123,0.8300351387343194
124,0.8301431805873056
125,0.8262789694421642
126,0.8264282474218693
127,0.8265630585761795
128,0.8306957236907776
129,0.8308374464779068
130,0.8351259288645811
131,0.8281710107797069
132,0.8283778395333031
133,0.8286076413687631
134,0.8330550992578031
135,0.8289748826622115
136,0.8333701726094211
137,0.8291661986175853
138,0.8292820679689343
139,0.8292802876798934
140,0.8336012260236649
141,0.8293782134739218
142,0.8294829083961713
143,0.8336587046406841
144,0.822975288682129
145,0.8297391907873208
146,0.8340362977977386
147,0.8298751365825241
148,0.8342258097956251
149,0.8257914107820318
150,0.8260864664527215
151,0.8302102869917112
152,0.8346526617866172
153,0.8305708693279632
154,0.8266195879914483
155,0.826830244421114
156,0.831252471683311
157,0.835423534228666
158,0.8354825211896763
159,0.8314459047392564
160,0.8318641512729892
161,0.8322178035333735
162,0.832530334206187
163,0.8326857044217262
164,0.8286555304269837
165,0.8288899985537572
166,0.8332809020028962
167,0.8335072698874211
168,0.8337554235318294
169,0.833736418383196
170,0.8295370369924261
171,0.8338888474288269
172,0.8298551278665988
173,0.8343164359131796
174,0.8342158689889209
175,0.8301228836548139
176,0.8343425904721293
177,0.8345119639508642
178,0.8302721792009888
179,0.8194346227496151
180,0.8261760925876136
181,0.8263520751608486
182,0.8306260467121364
183,0.8307873226002795
184,0.8308599094676168
185,0.8313052590060945
186,0.8313780044624571
187,0.8358217456415559
188,0.8317635904212044
189,0.8321702679838855
190,0.8321731353386789
191,0.8322764546635811
192,0.8278191564282533
193,0.8322519647017228
194,0.8326566783004944
195,0.8286327444029093
196,0.8289287037098695
197,0.8290938804577307
198,0.8225884644670393
199,0.8295082920255881
200,0.8297222040960098
201,0.8299201827001074
202,0.8299070634210832
203,0.8341223925594528
204,0.830016357276506
205,0.8343769628387596
206,0.8346113852206097
207,0.8304608084011939
208,0.8306511832026048
209,0.8308583439372438
210,0.830928943486583
211,0.8310403313039587
212,0.8267587996366923
213,0.8266350403160869
214,0.8349781928247545
215,0.8310077766018016
216,0.8354678330956229
217,0.8355685104702074
218,0.8316296253040828
219,0.8317896474559217
220,0.8255436641996743
221,0.832506110162605
222,0.832681021625295
223,0.8326891216293006
224,0.8329938717633663
225,0.8331399642432588
226,0.8213051369831822
227,0.8323865604853683
228,0.8283683955476235
229,0.8285748857797994
230,0.828944534227349
231,0.8183897751924188
232,0.8336543123562975
233,0.8337983418144401
234,0.8297134495980159
235,0.8341851847698118
236,0.8302571279106794
237,0.834526127884463
238,0.8346341148925112
239,0.830526765960998
240,0.8306319938289325
241,0.8307524450834575
242,0.8308274829353588
243,0.8308398148354811
244,0.8311171296962377
245,0.8268646451172672
246,0.8269528279527558
247,0.8311296071944153
248,0.8312015164187729
249,0.8312783016157904
250,0.8357124774336693
251,0.8358604192166402
252,0.8317221457473736
253,0.8319253689607164
254,0.8322717888635932
255,0.8325430114357993
256,0.8328467526152504
257,0.833123146094684
258,0.8332011553464891
259,0.8333383988964045
260,0.8377454690314605
261,0.8317805625999921
262,0.8320658759087585
263,0.832296411051219
264,0.8325518189418945
265,0.8285206825030712
266,0.8288711758639
267,0.8334742263496636
