zone,MW,MW_pct,n_turbines,CF_selected,CF_outline,WPSS_selected,WPSS_outline,WPSS_fish_selected,WPSS_fish_outline,WPSS_ecol_selected,WPSS_ecol_outline,WPSS_inv_selected,WPSS_inv_outline,n_cells_selected,n_cells_outline,n_cells_outline_WPSSfiltered,n_cells_outline_WPSSfilteredAll
1,1500,5,100,66.7,66.7,0.668,0.655,0.798,0.762,0.835,0.802,0.648,0.64,30,41,30,30
2,1000,3.3,67,66.6,66.6,0.678,0.677,0.824,0.822,0.842,0.841,0.657,0.657,20,23,23,23
5,1500,5,100,66.2,66.2,0.665,0.665,0.809,0.81,0.832,0.832,0.645,0.645,30,39,39,39
9,3000,10,200,70,70,0.689,0.689,0.804,0.804,0.847,0.847,0.677,0.677,60,60,60,60
14,2500,8.3,167,69.9,69.9,0.69,0.689,0.793,0.789,0.846,0.845,0.679,0.678,50,55,55,50
18,5000,16.7,333,70,70,0.693,0.693,0.813,0.813,0.85,0.85,0.68,0.68,100,102,102,102
19,4500,15,300,70.3,70.3,0.686,0.685,0.787,0.785,0.842,0.842,0.677,0.677,90,95,95,90
25,1000,3.3,67,67.3,67.4,0.681,0.664,0.784,0.716,0.829,0.816,0.677,0.666,20,78,78,20
31,1000,3.3,67,64.6,64.7,0.677,0.666,0.774,0.737,0.829,0.816,0.674,0.667,20,53,53,20
33,1000,3.3,67,63.3,63.3,0.647,0.646,0.779,0.779,0.813,0.813,0.623,0.623,20,25,24,24
41,5500,18.3,367,63.3,63.2,0.652,0.65,0.783,0.778,0.814,0.813,0.629,0.629,110,149,148,125
131,2500,8.3,167,56.8,56.8,0.65,0.649,0.776,0.774,0.815,0.814,0.623,0.623,50,58,57,54
