i,DistNW
1,299.1192655351102
2,299.13469987435474
3,296.39532334357733
4,296.29238637512776
5,296.2190978471153
6,296.1754757756537
7,296.1615292642669
8,296.17725848819833
9,293.9215970701045
10,293.93013000733134
11,293.7366470323028
12,293.5730019961994
13,293.43924082712067
14,293.3354004010762
15,293.26150848373436
16,293.2175836859457
17,293.2036354331897
18,293.21966394904604
19,293.26566025279146
20,289.9028181818061
21,290.127184603236
22,290.3816675289544
23,290.66618383169987
24,290.9806413805644
25,290.97853044099395
26,290.7832120286886
27,290.61803418664795
28,290.4830443021326
29,290.37828043328994
30,290.3037712478552
31,290.25953597633185
32,290.2455843798323
33,290.26191673266817
34,290.30852381978656
35,286.34879327900575
36,286.4532527302681
37,286.58838283883244
38,286.75413621695975
39,286.9504557598489
40,287.1772747344961
41,287.43451688344635
42,287.722096543057
43,288.03991877582047
44,288.0269176593965
45,287.82972459990316
46,287.6629808882517
47,287.5267354317671
48,287.421027520259
49,287.3458867614674
50,287.3013330317794
51,287.2873764423432
52,287.30401732072323
53,287.35124620816475
54,283.27738290405244
55,283.2588218167134
56,283.2713457581601
57,283.3149465814799
58,283.38960590693614
59,283.4952951499863
60,283.6319755659702
61,283.7995983113651
62,283.9981045213155
63,284.22742540319933
64,284.4874823458441
65,284.7781870439816
66,285.0994416375153
67,285.07529645454656
68,284.87618832421805
69,284.70784465371474
70,284.57031593452894
71,284.4636427402489
72,284.3878556585811
73,284.3429752394073
74,284.3290119590798
75,284.34596620106834
76,284.3938282530704
77,284.47257832056
78,280.44782415609706
79,280.36638659491416
80,280.316349148575
81,280.2977245934953
82,280.31051513915304
83,280.3547124221023
84,280.43029751773264
85,280.53724096976623
86,280.67550283734874
87,280.8450327595732
88,281.04577003715076
89,281.2776437309766
90,281.540572777154
91,281.8344661180599
92,282.15922284896186
93,282.12367180521744
94,281.9226069160467
95,281.7526281289787
96,281.6137875871709
97,281.50612720288683
98,281.4296785858731
99,281.38446298860185
100,281.37049126860995
101,281.3877638680917
102,281.4362708108179
103,281.51599171639486
104,277.6016736452486
105,277.4877835666992
106,277.40560603614904
107,277.35516517517254
108,277.33647422067276
109,277.3495354998011
110,277.39434042363996
111,277.4708694995706
112,277.5790923623504
113,277.7189678237597
114,277.89044394059863
115,278.0934581007942
116,278.327937127259
117,278.5937973991128
118,278.89094498978415
119,279.2192758214516
120,279.1720488868184
121,278.96898423316037
122,278.7973340581844
123,278.65715222780534
124,278.54848205081856
125,278.4713562033533
126,278.42579667113614
127,278.41181470973925
128,278.42941082305725
129,278.47857476001224
130,278.5592855295756
131,274.96859601820773
132,274.7896139452194
133,274.6426039649489
134,274.5276133607998
135,274.44467828675005
136,274.39382370180647
137,274.37506332392326
138,274.38839960352755
139,274.43382371680144
140,274.51131557872645
141,274.6208438758496
142,274.76236611862197
143,274.93582871313475
144,275.1411670519184
145,275.3783056234755
146,275.6471581400916
147,275.9476276834138
148,276.27960686722963
149,276.22042539540763
150,276.01531659250236
151,275.8419575925628
152,275.70040405922134
153,275.5907007587939
154,275.51288148056256
155,275.4669689758403
156,275.4529749160266
157,275.4708998698491
158,275.5207332998827
159,275.60245357834896
160,275.7160280221556
161,272.22580172304407
162,272.01273734248565
163,271.83193234607353
164,271.6834470331926
165,271.5673302974175
166,271.48361953708576
167,271.43234058606777
168,271.41350766508947
169,271.42712335376126
170,271.47317858343763
171,271.5516526509795
172,271.6625132533046
173,271.8057165426364
174,271.98120720219305
175,272.18891854200746
176,272.4287726144951
177,272.7006803492973
178,273.0045417068425
179,273.3402458499911
180,273.26882230487723
181,273.06162354574695
182,272.8865170813372
183,272.74356045204524
184,272.6327999460333
185,272.5542705150715
186,272.5079957101878
187,272.493987637367
188,272.5122469335027
189,272.5627627626891
190,272.64551283287415
191,272.76046343281024
192,269.5721014357502
193,269.49668448290186
194,269.272143842158
195,269.056861735368
196,268.87419212643016
197,268.72419737394074
198,268.6069280537646
199,268.52242286454145
200,268.47070855455325
201,268.45179987024017
202,268.4656995266368
203,268.51239819980333
204,268.59187454132353
205,268.704095214778
206,268.84901495409423
207,269.02657664344775
208,269.2367114184516
209,269.4793387881656
210,269.7543667774272
211,270.0616920889155
212,270.4012002842874
213,270.31723775983386
214,270.1079017370603
215,269.9310079000516
216,269.78661574940213
217,269.6747731630271
218,269.59551630725974
219,269.5488695688747
220,269.5348455082644
221,269.5534448340083
222,269.6046563989298
223,269.6884572176465
224,269.8048125055839
225,269.95367573923033
226,266.71966004259275
227,266.6104984737231
228,266.53437049347883
229,266.3185246774389
230,266.10097403132187
231,265.91639673570455
232,265.76485730129417
233,265.6464080624231
234,265.56108907715776
235,265.5089280499554
236,265.48994027723205
237,265.5041286160582
238,265.5514834761396
239,265.63198283510445
240,265.745592277045
241,265.8922650541379
242,266.0719421710925
243,266.2845524920448
244,266.5300128694443
245,266.8082282943927
246,267.11909206778586
247,267.46248599154313
248,267.36567783435765
249,267.1541556795867
250,266.97543324185347
251,266.82957207003653
252,266.71662170350345
253,266.6366195781693
254,266.58959095462234
255,266.57554886860504
256,266.59449410411696
257,266.6464151892044
258,266.73128841449267
259,266.8490778743603
260,266.9997355306079
261,264.07961491168714
262,263.90266663324974
263,263.75903615644194
264,263.6487737586745
265,263.5719171279041
266,263.36495096818646
267,263.1450792670334
268,262.9585497634652
269,262.8054292184784
270,262.68577180539626
271,262.5996190041967
272,262.54699951969604
273,262.52792922392365
274,262.54241112299184
275,262.5904353485747
276,262.67197917404116
277,262.78700705520293
278,262.93547069545536
279,263.1173091350486
280,263.33244886409585
281,263.58080395882223
282,263.86227624043585
283,264.1767554559698
284,264.52411948028515
285,264.41414885902344
286,264.2003900735965
287,264.0197964281306
288,263.87243161284727
289,263.7583469043543
290,263.677581066289
291,263.63016027328797
292,263.61609805859604
293,263.6353952855838
294,263.6880401432658
295,263.77400816586425
296,263.8932622763184
297,264.04575285357754
298,261.3347511142762
299,261.1222882703657
300,260.94345573780055
301,260.7983184949023
302,260.68692860224894
303,260.6093250993489
304,260.4114297442537
305,260.18918269288366
306,260.0006549474148
307,259.8459156229399
308,259.7250208169298
309,259.63801349738486
310,259.58492341620337
311,259.56576704817803
312,259.58054755588
313,259.6292547806054
314,259.71186525942926
315,259.8283422682885
316,259.9786358909028
317,260.1626831132076
318,260.38040794290356
319,260.631721553552
320,260.9165224525911
321,261.23469667254426
322,261.58611798452637
323,261.4626574353975
324,261.2466098170632
325,261.0641009157627
326,260.91519666144933
327,260.79995014809305
328,260.7184015285412
329,260.67057793404234
330,260.65649341877696
331,260.6761489296802
332,260.72953230166956
333,260.8166182783046
334,260.9373685578103
335,261.09173186421293
336,261.2796440433318
337,258.91098542110336
338,258.628436187663
339,258.3797269261437
340,258.1649512220583
341,257.984189593527
342,257.83750933077664
343,257.72496436084805
344,257.6465951381938
345,257.4579683426916
346,257.2332897852359
347,257.0427161819188
348,256.8863191117705
349,256.7641566865332
350,256.67627343218857
351,256.6227001972045
352,256.6034540878676
353,256.6185384310715
354,256.6679427646886
355,256.75164285559157
356,256.8696007452606
357,257.0217648227245
358,257.20806992454163
359,257.42843746133076
360,257.6827755702837
361,257.9709792929583
362,258.29293077755443
363,258.6484995047341
364,258.5112104514785
365,258.29282001696515
366,258.1083503048961
367,257.95786958903153
368,257.8414328654737
369,257.75908174135293
370,257.71084434956765
371,257.69673529004854
372,257.7167555977438
373,257.77089273754405
374,257.8591206261187
375,257.9813996806009
376,258.1376768938863
377,258.32788593619955
378,256.2817222150444
379,255.9619128866347
380,255.67621962993232
381,255.42475267775893
382,255.20760894291323
383,255.02487182228114
384,254.8766110268136
385,254.7628824382283
386,254.68372799303629
387,254.5045744255664
388,254.27740625956292
389,254.0847375271361
390,253.92664238753656
391,253.80318106220577
392,253.71439970922384
393,253.6603303260304
394,253.64099068086617
395,253.6563842732879
396,253.70650032392638
397,253.79131379356664
398,253.91078543141754
399,254.0648618524142
400,254.25347564308674
401,254.47654549561278
402,254.73397636931733
403,255.02565967894358
404,255.35147350876437
405,255.71128285159745
406,255.55981509823485
407,255.3390260013864
408,255.1525483472581
409,255.00045286356854
410,254.88279653831006
411,254.7996225017827
412,254.75095993625928
413,254.7368240136887
414,254.757215861769
415,254.81212255850184
416,254.90151715531067
417,255.0253587285836
418,255.18359245940158
419,255.37614974110525
420,255.6029483141576
421,254.08629411535765
422,253.69425671359542
423,253.33645783705558
424,253.01303848803713
425,252.7241263846695
426,252.46983570161257
427,252.25026683606998
428,252.06550620021636
429,251.9156260410206
430,251.80068428829446
431,251.72072443176253
432,251.55125599902422
433,251.32153808451906
434,251.1267232187846
435,250.96688826448863
436,250.84209565390069
437,250.75239325573634
438,250.69781427196259
439,250.67837716506588
440,250.69408561611914
441,250.7449285138912
442,250.83087997503884
443,250.95189939527518
444,251.10793153127884
445,251.2989066129547
446,251.52474048548802
447,251.7853347805091
448,252.0805771155725
449,252.41034132096718
450,252.7744876928258
451,252.6084788872979
452,252.38523333245206
453,252.19669895503097
454,252.04294905338472
455,251.92404270246507
456,251.8400246287523
457,251.79092511444694
458,251.77675993138894
459,251.79753030503826
460,251.85322290866281
461,251.94380988781637
462,252.06924891494847
463,252.22948327387917
464,252.4244419737943
465,252.65403989213385
466,251.58089010847021
467,251.1499009528095
468,250.75338127741296
469,250.39149055987372
470,250.06437484491212
471,249.7721664441952
472,249.51498366158611
473,249.29293054513334
474,249.10609666698838
475,248.95455693231455
476,248.83837141810164
477,248.75758524270398
478,248.5980214336972
479,248.36569149699002
480,248.16867767861677
481,248.00705967525843
