zone,MW,MW_pct,n_turbines,CF_selected,CF_outline,WPSS_selected,WPSS_outline,n_cells_selected,n_cells_outline,n_cells_outline_WPSSfiltered
1,3000,10,200,66.5,66.5,0.665,0.64,60,125,61
5,1000,3.3,67,66.2,66.2,0.666,0.665,20,35,35
16,1000,3.3,67,68.9,68.8,0.681,0.682,20,26,26
19,5500,18.3,367,70.3,70.3,0.681,0.681,110,110,110
25,2000,6.7,133,68.1,68.1,0.663,0.663,40,41,41
31,1000,3.3,67,65.2,65.2,0.667,0.667,20,22,22
38,2000,6.7,133,63,63,0.649,0.648,40,45,41
41,3000,10,200,63.3,63.3,0.65,0.65,60,101,101
66,2000,6.7,133,55.1,55.1,0.64,0.634,40,85,40
95,1500,5,100,55.1,55.1,0.641,0.639,30,55,31
98,1000,3.3,67,56.2,56.2,0.642,0.639,20,52,23
110,1000,3.3,67,57,57,0.64,0.633,20,55,21
122,1000,3.3,67,56.4,56.4,0.641,0.638,20,31,21
133,1500,5,100,55.7,55.7,0.644,0.642,30,37,32
145,3500,11.7,233,58.5,58.4,0.643,0.637,70,172,71
