i,WPSS
1,0.6539461168527714
2,0.6470913636893878
3,0.6539040152106379
4,0.6541894905146546
5,0.6544188224986021
6,0.654816127812947
7,0.6548062008824834
8,0.655051819107199
9,0.6434425872626668
10,0.6551561121441842
11,0.655183318728932
12,0.6554304169874577
13,0.6554115814045872
14,0.6557377755666165
15,0.6559090953041172
16,0.6491158210787474
17,0.6557758283127069
18,0.6559787537697265
19,0.64936724432146
20,0.6479607417570701
21,0.6480365168666194
22,0.6549407298505866
23,0.6552172510549071
24,0.6552363006210369
25,0.648827171238066
26,0.6558195670783379
27,0.6564951729622239
28,0.6567667078337862
29,0.656803499002731
30,0.6568117357510976
31,0.6500574408329295
32,0.6499436953065155
33,0.6569184185437507
34,0.6570550520273364
35,0.6493955965694501
36,0.6492646648083196
37,0.648984017106306
38,0.6556075388678237
39,0.6552638205946291
40,0.6485728382920845
41,0.6555136575555697
42,0.6557310646051137
43,0.6558700326325523
44,0.656138786899885
45,0.656533946400676
46,0.656984340240981
47,0.6573343911936367
48,0.657971912635004
49,0.6581184088205894
50,0.65801745353119
51,0.6577789074051374
52,0.6579428914026916
53,0.6578428866971068
54,0.6572154523130509
55,0.6571824383797311
56,0.6571989846843405
57,0.6501846991619488
58,0.6501060191298589
59,0.6498921110542346
60,0.6496384463508723
61,0.6561828247371431
62,0.6489888103452984
63,0.6558101698512007
64,0.6558456129629585
65,0.6559564416108996
66,0.6563069806622243
67,0.6499756661331617
68,0.6574244270873941
69,0.6511252462295348
70,0.6583326236116586
71,0.6517433046810688
72,0.6518598112438051
73,0.6520394228492736
74,0.6517908272559307
75,0.6402934553659435
76,0.6587319984734605
77,0.6519487569817415
78,0.650534665251576
79,0.6577949700601311
80,0.6509340191770803
81,0.6576860831366912
82,0.6509736697530674
83,0.6577585221179749
84,0.6509395410347703
85,0.6505739086901013
86,0.6502550476831139
87,0.6567697809606693
88,0.6567931363094588
89,0.6566548153430415
90,0.6501203435690632
91,0.6571275970114498
92,0.6574181092642143
93,0.6510908624259077
94,0.6583434382198813
95,0.6587565113792015
96,0.6590219978040579
97,0.6591668004161113
98,0.6524682881974
99,0.6457728726776236
100,0.6527501717224711
101,0.6528859661296366
102,0.6526926579087408
103,0.6594753383620973
104,0.6574256897429307
105,0.6509519011058186
106,0.6513044698988381
107,0.6582356839743803
108,0.6581373162029627
109,0.6584816759737485
110,0.6515274010658942
111,0.6515973152853548
112,0.6513365861137047
113,0.6513777482702444
114,0.6580382620940844
115,0.6509688271852077
116,0.6576378040766021
117,0.6578658690730639
118,0.6581882354542998
119,0.6584595101613335
120,0.6519222702533626
121,0.6524542664183882
122,0.6523627248728228
123,0.6524949546429325
124,0.6527398202712071
125,0.6462560476175484
126,0.6464771771923797
127,0.6466239143365777
128,0.6533742132168535
129,0.653358825077757
130,0.6603099639573308
131,0.6503283435119097
132,0.6507260286966504
133,0.6511439367107237
134,0.6583711291442234
135,0.651693120587099
136,0.6588223048269858
137,0.651942488446036
138,0.6520897595411453
139,0.6520957508259183
140,0.6591152604366397
141,0.6521677006387119
142,0.6522371888083991
143,0.6590660387396827
144,0.647642761191014
145,0.652488149018421
146,0.6594286305860179
147,0.6526511239748977
148,0.6596652766018865
149,0.6459104444277233
150,0.6463499206700676
151,0.653078415726742
152,0.6601420778414631
153,0.6534939187536808
154,0.64692493108093
155,0.6472310052659477
156,0.6543522897028522
157,0.6611251318791749
158,0.661046267191032
159,0.6544035216492757
160,0.6548987997218005
161,0.6571806608985551
162,0.6576539371278248
163,0.6579253330385935
164,0.6513565285505447
165,0.651756897997954
166,0.6589710918277876
167,0.6593371834044941
168,0.6597373789464187
169,0.6596572955867117
170,0.6527161625053616
171,0.6597747521703375
172,0.6530657025514209
173,0.6603231787696479
174,0.6601709218647751
175,0.6534049637018683
176,0.6603232648391486
177,0.6605390725461506
178,0.6535946460001373
179,0.6419935020139889
180,0.6467718836470997
181,0.6468665235985116
182,0.6539442641338631
183,0.6540563444848645
184,0.6541081931651038
185,0.6546484055971716
186,0.6547431659390487
187,0.661995113750356
188,0.6553081272699811
189,0.6557438273114202
190,0.6556406837400051
191,0.6557114467992742
192,0.6502224564046208
193,0.6574258165860648
194,0.6580014466627122
195,0.6513649776572475
196,0.6518025097371788
197,0.6521303129081093
198,0.6477377201325986
199,0.6528641001152689
200,0.6532793139963013
201,0.6536569572338918
202,0.6536306956679862
203,0.6605050562128089
204,0.6537149366430405
205,0.6607567936330019
206,0.6611191117627995
207,0.6542382600062407
208,0.6544553823819118
209,0.6547312278060109
210,0.6548431965909046
