zone,MW,MW_pct,n_turbines,CF_selected,CF_outline,WPSS_selected,WPSS_outline,n_cells_selected,n_cells_outline,n_cells_outline_WPSSfiltered
4,1500,5,100,68.5,68.5,0.647,0.647,30,30,30
7,1000,3.3,67,68.6,68.6,0.689,0.689,20,21,21
9,5500,18.3,367,69.9,69.9,0.688,0.688,110,110,110
14,4500,15,300,69.9,69.9,0.68,0.679,90,92,91
18,6000,20,400,70,70,0.688,0.687,120,123,122
19,6000,20,400,70.3,70.3,0.681,0.681,120,122,122
25,3000,10,200,67.9,67.9,0.662,0.662,60,60,60
41,2500,8.3,167,63.3,63.3,0.65,0.65,50,68,68
